$\lambda$,lambda
1.0,1.51210135030121e-19
1.49438202247191,2.8451567834313673e-16
1.9887640449438202,5.270251334927305e-14
2.4831460674157304,2.7258634041001313e-12
2.9775280898876404,6.278685211752099e-11
3.4719101123595504,8.268246872275433e-10
3.966292134831461,7.228206815226341e-09
4.460674157303371,4.6199706164447234e-08
4.955056179775281,2.306181495975962e-07
5.449438202247191,9.424299548063958e-07
5.943820224719101,3.2645277593704476e-06
6.438202247191011,9.842195338356291e-06
6.932584269662922,2.636303688326096e-05
7.426966292134831,6.376963951811784e-05
7.921348314606742,0.00014114312468138193
8.415730337078651,0.00028893912790310406
8.910112359550562,0.0005519838428858524
9.404494382022472,0.0009914353388335287
9.898876404494382,0.0016848685313371537
10.393258426966291,0.002723799408160125
10.887640449438202,0.0042083187113769105
11.382022471910112,0.006238994531648417
11.876404494382022,0.008906725331583976
12.370786516853933,0.012281666735869834
12.865168539325843,0.01640262206441339
13.359550561797752,0.021268323275241214
13.853932584269662,0.02683183089244931
14.348314606741573,0.03299889042759745
14.842696629213483,0.039630573752096485
15.337078651685394,0.04654999630200239
15.831460674157302,0.053552420006405026
16.325842696629213,0.06041769335366698
16.820224719101123,0.06692378220836903
17.314606741573034,0.07286011634547054
17.808988764044944,0.07803959965689013
18.303370786516854,0.0823083704530683
18.797752808988765,0.08555270633111006
19.292134831460675,0.08770279861274059
19.786516853932582,0.08873343291743323
20.280898876404493,0.08866187368967247
20.775280898876403,0.08754344220080748
21.269662921348313,0.08546539237206341
21.764044943820224,0.08253972956482808
22.258426966292134,0.07889559461627073
22.752808988764045,0.07467176377006103
23.247191011235955,0.07000971143839307
23.741573033707866,0.06504756309314817
24.235955056179776,0.05991514403911219
24.730337078651687,0.054730217295365244
25.224719101123593,0.049595907784842186
25.719101123595504,0.04459923467126549
26.213483146067414,0.039810620281847155
26.707865168539325,0.03528421166419557
27.202247191011235,0.03105883693706617
27.696629213483146,0.027159419785706067
28.191011235955056,0.0235986879455667
28.685393258426966,0.020379031610121563
29.179775280898877,0.01749439206145265
29.674157303370787,0.014932086682085084
30.168539325842694,0.012674501719106652
30.662921348314605,0.010700607220509766
31.157303370786515,0.008987268503565213
31.651685393258425,0.007510344882730884
32.146067415730336,0.006245579096222733
32.640449438202246,0.0051692901176974585
33.13483146067416,0.0042588881953756355
33.62921348314607,0.003493234498791151
34.12359550561798,0.0028528691833959305
34.61797752808989,0.002320131505389514
35.1123595505618,0.0018791942911334724
35.60674157303371,0.0015160329841988063
36.10112359550562,0.0012183469858871982
36.59550561797753,0.0009754483291841973
37.08988764044944,0.0007781300730253044
37.58426966292135,0.000618524306946645
38.078651685393254,0.0004899574003753033
38.573033707865164,0.0003868081616734537
39.067415730337075,0.0003043729054662542
39.561797752808985,0.00023874005710498234
40.056179775280896,0.00018667583020778053
40.550561797752806,0.00014552166817242016
41.04494382022472,0.00011310351012731543
41.53932584269663,8.765249168271793e-05
42.03370786516854,6.773638799443717e-05
42.52808988764045,5.2200920684049664e-05
43.02247191011236,4.011995421940671e-05
43.51685393258427,3.0753578463508514e-05
44.01123595505618,2.351309313853914e-05
44.50561797752809,1.7931961467491667e-05
45.0,1.3641872084813059e-05
